Season,Dissolved Oxygen (mg/L),Salinity (ppt),pH,Water Temp,Ammonia (mg/L),Disease Type,Symptoms,Disease to Occur,Disease Risk
Monsoon,4.95,11.9,8.03,24.3,0.01,Parasitic,Reduced Feeding,Ichthyophthiriasis,High
Summer,4.08,15.89,6.52,32.6,0.05,None,None,None,Low
Summer,7.36,17.82,6.56,24.8,0.04,Unknown,Lesions,Aeromoniasis,Medium
Summer,4.87,24.15,6.99,33.6,0.04,Unknown,Gasping,Columnaris,Medium
Monsoon,4.3,26.58,8.07,21.8,0.01,None,None,Aeromoniasis,Low
Monsoon,4.57,21.8,8.44,20.8,0.05,None,None,None,Low
Winter,5.06,9.42,6.73,26.1,0.1,Unknown,Lesions,Ichthyophthiriasis,Medium
Monsoon,4.13,14.13,8.18,30.9,0.03,None,None,Aeromoniasis,Low
Summer,4.98,15.75,7.37,,0.1,Unknown,Discoloration,None,Medium
Winter,4.11,7.41,6.6,26.6,0.03,Unknown,Lesions,Columnaris,Medium
Summer,4.44,0.34,8.31,23.5,0.08,Parasitic,Reduced Feeding,Aeromoniasis,High
Summer,6.55,14.5,8.08,26.4,0.03,Unknown,Lesions,None,Medium
Summer,4.66,23.57,,33.8,0.03,None,None,None,Low
Summer,4.95,17.46,6.68,25.2,0.04,Parasitic,Reduced Feeding,Aeromoniasis,High
Summer,4.77,17.61,6.77,27.2,0.03,Unknown,Lesions,Aeromoniasis,Medium
Summer,4.77,6.74,6.68,33.7,0.08,None,None,Ichthyophthiriasis,Low
Winter,4.82,1.85,6.85,32,0.07,Bacterial,Lesions,Saprolegniasis,High
Monsoon,6.34,5.45,6.73,26.9,0.08,Unknown,Lesions,Aeromoniasis,Medium
Winter,6.97,5.04,8.29,23.3,0.08,None,None,Aeromoniasis,Low
Monsoon,5.44,7.27,7.53,28.2,0.06,None,None,None,Low
Winter,7.29,22.56,7.07,24.9,0.05,None,None,Ichthyophthiriasis,Low
Summer,5.19,16.26,7.54,26.4,0.08,None,None,Hypoxia,Low
Winter,7.8,27.95,8.37,32.8,0.09,Unknown,Discoloration,Columnaris,Medium
Winter,5.51,22.53,7.38,31.8,,Unknown,Discoloration,None,Medium
Monsoon,4.4,25.58,7.92,27.1,0.04,None,None,None,Low
Monsoon,7.84,26.03,7.38,29.5,0.03,Unknown,Gasping,Ichthyophthiriasis,Medium
Winter,4.8,27.37,7.09,20.8,0.02,Unknown,Gasping,Columnaris,Medium
Winter,7.18,34.48,8.13,26.4,0.04,Unknown,Lesions,Saprolegniasis,Medium
Summer,5.11,5.76,8.18,22.6,0.04,None,None,None,Low
Summer,,3.39,7.56,24.3,0.04,Unknown,Lesions,Ichthyophthiriasis,Medium
Summer,6.34,26.55,6.79,28,0.1,Unknown,Gasping,Aeromoniasis,Medium
Winter,6.52,29.34,6.5,31,0.04,Bacterial,Lesions,Columnaris,High
Monsoon,4.06,23.04,7.82,28.5,0.1,Bacterial,Lesions,Hypoxia,High
Winter,7.77,,6.75,24.5,0.01,Unknown,Lesions,None,Medium
Summer,7.71,12.24,8.31,21.2,0.02,Unknown,Discoloration,None,Medium
Summer,6.14,11.58,7.21,28,0.05,Bacterial,Lesions,None,High
Summer,7.34,25.56,6.69,24,0.02,None,None,None,Low
Monsoon,6.95,13.45,6.6,25.5,0.06,Unknown,Gasping,Aeromoniasis,Medium
Monsoon,5.24,13.24,7.63,32.6,0.1,Unknown,Gasping,None,Medium
Winter,7.73,19.54,6.5,33.8,0.03,Fungal,Discoloration,None,Medium
Monsoon,7.11,10.48,,20.8,0.07,Fungal,Discoloration,None,Medium
Monsoon,4.48,0.83,8.12,32.9,0.06,Bacterial,Lesions,None,High
Summer,5.33,24.39,7.28,27.9,0.04,None,None,Ichthyophthiriasis,Low
Winter,4.2,11.85,6.94,28.2,0.09,Bacterial,Lesions,Saprolegniasis,High
Monsoon,7.39,30,7.23,32.4,0.06,None,None,Aeromoniasis,Low
Monsoon,4.16,31.89,7.04,21.7,0.04,None,None,None,Low
Monsoon,7.81,24.36,6.87,26.7,0.04,Unknown,Reduced Feeding,None,Medium
Monsoon,7.63,6.64,8.23,26.1,0.07,Unknown,Discoloration,None,Medium
Monsoon,7.78,33.93,7.8,34.3,0.05,None,None,None,Low
Winter,4.07,12.5,7.69,27.2,0.05,Parasitic,Reduced Feeding,None,High
Monsoon,5.83,13.76,7.82,26.7,0.03,None,None,None,Low
Monsoon,6.22,17.92,7.47,,0.02,Unknown,Discoloration,None,Medium
Summer,6.09,30.77,7.78,27.5,0.06,Unknown,Lesions,None,Medium
Winter,6.42,6.68,7.68,34.9,0.06,Bacterial,Lesions,None,High
Summer,4.6,15.7,7.31,23.6,0.1,Unknown,Lesions,None,Medium
Monsoon,5.75,2.98,7.19,34.2,0.05,Unknown,Reduced Feeding,None,Medium
Monsoon,4.5,11.3,8.12,26.4,0.01,Unknown,Lesions,Saprolegniasis,Medium
Monsoon,6.35,19.15,7.3,22.9,0.05,Unknown,Gasping,None,Medium
Summer,7.66,27.55,6.75,20.8,0.06,Unknown,Reduced Feeding,Ichthyophthiriasis,Medium
Summer,4.94,30.36,7.81,30.6,0.07,Bacterial,Lesions,None,High
Monsoon,7.12,27.81,8.11,32.4,0.09,Unknown,Reduced Feeding,Columnaris,Medium
Monsoon,4.49,9.03,7.41,26.1,0.09,Unknown,Gasping,Hypoxia,Medium
Winter,4.64,26.74,8.28,25.3,0.1,Parasitic,Reduced Feeding,None,High
Summer,7.42,0.68,7.81,26.2,0.06,Unknown,Lesions,None,Medium
Winter,6.01,13.46,7.7,20.1,0.09,None,None,None,Low
Winter,5.11,12.06,7.08,26.7,0.09,None,None,None,Low
Monsoon,6.85,25.66,6.91,22.5,0.07,None,None,None,Low
Winter,7.72,14.34,7.78,23.8,0.07,None,None,Aeromoniasis,Low
Summer,4.38,25.9,6.61,24.9,0.03,None,None,Columnaris,Low
Winter,5.37,20.51,7.17,25.1,0.07,Unknown,Reduced Feeding,None,Medium
Winter,7.06,31.06,6.55,23.9,0.08,Unknown,Lesions,None,Medium
Monsoon,6.42,31.13,6.99,27.1,0.03,Fungal,Discoloration,Saprolegniasis,Medium
Summer,7.36,28.03,8.21,34,0.01,Bacterial,Lesions,None,High
Winter,7.03,18.69,7.92,20.9,0.03,Unknown,Discoloration,None,Medium
Winter,5.67,28.44,7.72,32.5,0.09,None,None,None,Low
Winter,5.31,12.38,8,29.8,0.09,Unknown,Reduced Feeding,None,Medium
Summer,6.86,5.25,7.46,29,0.06,Bacterial,Lesions,None,High
Winter,5.52,10.04,6.53,22.6,0.02,None,None,None,Low
Summer,6.52,7.82,7.71,,0.02,None,None,Saprolegniasis,Low
Summer,7.04,28.53,7.7,31,0.06,None,None,Aeromoniasis,Low
Winter,4.59,2.9,6.87,32.5,0.04,None,None,Ichthyophthiriasis,Low
Summer,7.01,15.82,6.93,35,0.05,Bacterial,Lesions,Aeromoniasis,High
Summer,4.87,26.52,8.24,29.1,0.1,Unknown,Gasping,Hypoxia,Medium
Winter,5.09,8.29,6.55,33,,None,None,None,Low
Monsoon,5.19,3.57,6.69,32.5,0.08,None,None,None,Low
Summer,7.05,24.92,6.5,32.9,0.02,Bacterial,Lesions,None,High
Monsoon,7.48,14.32,7.91,21.4,0.02,None,None,Columnaris,Low
Winter,6.62,20.46,8.42,23.3,0.04,Unknown,Lesions,Aeromoniasis,Medium
Monsoon,5.9,18.78,7.15,24.2,0.02,Unknown,Lesions,Aeromoniasis,Medium
Winter,5.66,15.59,8.23,22.4,0.08,None,None,None,Low
Monsoon,4.16,1.29,8.5,29.7,0.02,Parasitic,Reduced Feeding,None,High
Monsoon,5.61,24.17,8.45,29.8,0.03,Unknown,Discoloration,None,Medium
Monsoon,7.35,22.58,6.97,33.2,0.01,None,None,None,Low
Monsoon,7.32,17.97,8.27,26.2,0.03,Unknown,Gasping,Saprolegniasis,Medium
Monsoon,6.78,2.42,8.13,29,0.04,None,None,Columnaris,Low
Winter,7.71,14.03,6.88,31.7,0.08,None,None,,Low
